Gene	OF2_OO_sc.1	OF2_OO_sc.2	OF2_OO_sc.3	OF2_OO_sc.4	OF2_OO_sc.5	OF2_OO_sc.6	OF2_OO_sc.7	OF2_OO_sc.8	OF2_OO_sc.9	OF2_OO_sc.10	OF2_OO_sc.11	OF2_OO_sc.12	OF2_OO_sc.13	OF2_OO_sc.14	OF2_OO_sc.15	OF2_OO_sc.16	OF2_OO_sc.17	OF2_OO_sc.18	OF2_OO_sc.19	OF2_OO_sc.20	OF2_OO_sc.21	OF2_OO_sc.22	OF2_OO_sc.23	OF2_OO_sc.24	OF2_OO_sc.25	OF2_OO_sc.27	OF2_OO_sc.28	OF2_OO_sc.29	OF2_OO_sc.30	OF2_OO_sc.31	OF2_OO_sc.32	OF2_OO_sc.33	OF2_OO_sc.34	OF2_OO_sc.35	OF2_OO_sc.36	OF2_OO_sc.37	OF2_OO_sc.38
ENSMFAG00000002169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000033867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000040959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000044335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000039589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000042810	0	0	1	1	2	0	0	0	2	0	1	23	11	0	3	1	3	5	0	0	6	3	3	14	1	0	0	0	1	0	0	1	0	0	0	1	0
ENSMFAG00000041478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000002557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000008187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000037528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000034507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000030214	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000031292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000001219	0	0	0	2	1	0	2	0	19	0	108	218	64	0	5	1	30	25	2	8	44	29	22	72	10	1	1	1	0	0	6	12	0	10	10	2	1
ENSMFAG00000039602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000045287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000001098	0	0	0	0	0	1	0	0	2	0	15	114	53	1	6	0	10	18	0	8	51	30	1	27	6	1	0	1	0	0	1	0	0	2	0	1	0
ENSMFAG00000040749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000017285	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000003812	0	0	0	1	0	0	0	0	2	0	4	14	4	0	0	0	2	2	0	1	4	1	0	8	2	1	0	0	0	0	0	1	0	0	0	0	0
ENSMFAG00000031340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000045839	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMFAG00000039795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000037292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000000314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000041093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000040215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000040070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000033965	0	1	0	0	0	0	0	0	0	0	0	9	1	0	0	0	1	0	0	0	0	3	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000032029	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000027212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000001138	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000011493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000037534	9	6	10	16	9	3	4	4	85	0	214	407	238	5	23	5	51	58	5	19	184	127	40	192	26	9	2	1	12	0	10	35	1	79	66	36	13
ENSMFAG00000042380	5	6	10	8	3	3	1	5	51	1	378	385	316	3	38	10	82	92	3	24	229	106	36	160	13	13	0	5	11	1	12	36	0	72	44	18	13
ENSMFAG00000028974	0	0	0	2	0	0	0	0	3	0	13	11	66	0	2	0	8	2	0	0	17	6	19	32	2	1	0	2	0	0	1	1	0	0	0	4	0
ENSMFAG00000000401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000012713	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000041589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000036679	0	0	0	0	0	0	0	0	0	0	10	8	2	0	2	0	1	0	0	0	3	2	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000043987	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMFAG00000034290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000033657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000043232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000040287	0	0	0	2	0	0	0	1	3	0	0	1	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSMFAG00000030772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000020465	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMFAG00000039031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000045353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000034682	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000037558	0	0	0	1	0	1	0	0	0	0	16	5	0	1	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000040534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000046018	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000039865	3	0	0	6	1	2	2	1	16	0	117	377	274	0	47	6	83	68	2	10	216	101	60	197	25	0	0	0	0	0	32	7	0	13	14	2	2
ENSMFAG00000028542	0	0	0	0	0	0	0	0	0	0	25	13	13	0	1	0	1	2	1	1	4	1	10	5	1	0	0	0	0	0	0	0	0	0	0	1	0
ENSMFAG00000030875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000043320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000033989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000003472	2	3	2	22	7	4	0	11	46	0	88	359	211	3	56	1	103	119	2	34	198	126	108	174	48	13	1	0	14	0	34	19	1	28	25	8	5
ENSMFAG00000042490	0	1	0	0	0	0	1	0	15	0	126	66	49	0	1	0	7	1	0	0	17	10	5	22	2	0	0	0	0	0	1	2	0	3	3	0	0
ENSMFAG00000030382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000044701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000003189	8	6	4	6	0	5	2	4	37	0	12	316	246	1	76	6	157	111	5	21	233	107	151	291	47	23	0	2	12	2	41	9	0	11	13	6	5
ENSMFAG00000030613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000000474	0	0	0	1	0	0	1	0	7	0	73	125	62	0	6	3	10	17	1	2	46	20	11	47	11	1	0	1	0	0	9	1	0	4	0	2	2
ENSMFAG00000001597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000000972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000037290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000004508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000040268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000026599	0	0	0	0	0	0	0	0	3	0	7	41	31	0	2	1	14	4	1	3	17	1	8	25	1	1	0	0	0	0	3	0	0	0	0	0	0
ENSMFAG00000040216	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMFAG00000032176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000041035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000005490	2	0	0	4	5	3	0	3	13	0	26	187	100	0	10	2	32	22	0	8	57	40	14	59	2	1	0	0	3	1	5	5	0	4	7	8	2
ENSMFAG00000041059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000002030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000044967	0	0	0	0	0	0	0	0	0	0	0	26	14	0	2	0	0	1	0	2	13	5	3	15	3	0	0	0	0	0	0	0	0	1	0	0	0
ENSMFAG00000045427	0	2	0	0	0	0	1	0	0	0	0	5	4	0	0	0	1	0	0	0	2	3	0	0	3	1	0	0	0	0	0	2	0	0	0	0	0
ENSMFAG00000040606	0	0	0	4	0	0	0	1	6	0	7	103	37	0	5	1	13	14	0	5	36	19	3	21	1	0	0	0	2	2	2	3	0	6	10	2	2
ENSMFAG00000034823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000008838	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000035380	1	1	0	0	0	0	1	0	7	1	64	145	64	0	11	3	14	12	0	3	57	20	10	41	6	2	0	0	0	1	3	0	0	3	7	4	4
ENSMFAG00000000740	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000033684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000030498	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000030502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000043283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000031089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000030718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000030720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000036193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000001445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000015912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMFAG00000007031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000000550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000037909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000038296	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMFAG00000039614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000000300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000001777	0	1	0	0	0	0	0	0	3	0	23	212	112	2	11	2	21	29	0	12	66	42	11	53	5	3	0	4	2	1	4	8	0	10	9	2	1
ENSMFAG00000038246	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000037261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000033063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000038716	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000031304	0	0	0	0	0	0	0	0	2	0	0	19	27	0	1	0	0	0	0	2	19	7	6	13	3	0	0	0	0	0	0	1	0	0	0	0	1
ENSMFAG00000003554	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000036815	0	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000023542	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000022559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000044826	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	2	2	1	0	0	0	0	0	0	0	0	0	0	3	0
ENSMFAG00000034621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000033643	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	4	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	2	0	0
ENSMFAG00000006980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000003331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000026668	0	0	0	0	0	0	0	1	1	0	59	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	4	0	0
ENSMFAG00000039841	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000039046	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSMFAG00000028351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000015963	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000028355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000040295	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	2	0	0	1	3	0	1	1	2	1	0	0	0	0	1	0	0	0	0	0	0
ENSMFAG00000030970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000038258	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000003545	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000001004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000003579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000036581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000020472	0	0	0	0	0	0	0	0	0	0	0	85	8	0	1	0	4	4	0	1	7	5	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMFAG00000030500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000003658	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000035854	1	1	0	4	0	0	1	1	8	0	77	154	100	1	6	5	17	18	0	9	79	19	16	74	15	1	0	0	0	0	11	6	0	7	9	2	3
ENSMFAG00000043392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000042796	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000038571	0	0	0	0	0	0	6	2	7	0	150	224	88	0	8	0	24	20	0	2	105	17	50	117	22	1	0	0	5	0	3	1	0	7	15	2	0
ENSMFAG00000016019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000003416	0	1	0	1	0	0	0	1	12	0	93	95	83	2	6	3	14	17	0	7	64	23	13	73	9	2	0	0	2	0	13	4	0	6	5	5	3
ENSMFAG00000036616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000039336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000016048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000000895	0	0	0	0	0	0	0	2	1	0	6	62	24	0	1	0	3	3	0	1	28	5	2	9	0	0	0	0	0	0	0	1	0	0	2	0	0
ENSMFAG00000044590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000001709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000037557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMFAG00000043996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000003581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000032404	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000001908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000042427	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	2	1	0	0	2	0	0	4	0	0	0	0	0	0	0	1	0	1	0	0	0
ENSMFAG00000028126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000036770	0	0	0	0	0	0	0	0	2	0	2	111	51	0	2	0	11	5	2	4	37	11	17	47	12	0	0	0	0	0	2	1	0	4	2	0	0
ENSMFAG00000034274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000037180	0	0	0	0	0	0	0	0	3	0	2	5	1	0	0	0	0	0	0	0	3	0	1	6	2	0	0	0	0	0	0	1	0	0	0	0	0
ENSMFAG00000041908	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000017867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000031034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000002753	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
